BARRIO,CAPACIDAD,CLASE,COMUNA,CP,CPA,DIRECCION,DISPOSICION,ESTADO,ESTADO_OBESERVACIONES,FECHA_DE_ENTREGA_NUEVA_REVALIDA,FECHA_DE_NOTIFICACION,FECHA_DISPOSICION_DE_CAPACIDAD,FECHA_DISPOSICION_DE_RECHAZO,FECHA_DISP_INSCRIPCION,FECHA_DISP_RE_INSCRIPCION,FECHA_ENVIO,NOMBRE,NOTIFICADO,NUMERO_DIPS,NUMERO_DISPOSICION_DE_RECALCULO_CAPACIDAD,NUMERO_DISP_DE_RECHAZO,NUMERO_EXPEDIENTE,NUMERO_REGISTRO,PERIODO,PISO,VENCIMIENTO,X,Y
BALVANERA,428,C,COMUNA 03,1025,C1025ABG,RIOBAMBA 345,1,RENOVADO 2016, ,11/04/2016, ,12/12/2005, ,24/02/2005,01/03/2016, ,CASTELBAMBA, ,18,158, ,10560/05,1,2016-SEM10, ,13/07/2016,-5.839.374.339.999.990,-3.460.502.720.000.000
RETIRO,100,CC,COMUNA 01,1008,C1008AAT,SUIPACHA 930,68,INSCRIPCION VENCIDA,INSCRIPCION VENCIDA,24/10/2014, ,04/08/2005, ,08/06/2005,24/06/2014, ,CATTOS, ,82,93, ,20218/05,58,2016-SEM10, ,27/01/2015,-5.837.990.039.999.990,-3.459.732.389.999.990
MONSERRAT,400,C,COMUNA 01,1086,C1086AAO,"YRIGOYEN, HIPOLITO 947",70,RENOVADO 2015, ,13/06/2016, ,19/06/2009, ,19/06/2009,30/07/2015, ,CIRCUS, ,76,70, ,32798/09,107,2016-SEM10, ,03/09/2016,-5.837.976.729.999.990,-3.460.950.929.999.990
VILLA PUEYRREDON,1434,C,COMUNA 12,1419,C1419EQH,MOSCONI GENERAL AV. 2885,9,RENOVADO 2015, ,17/05/2016, ,27/06/2005, ,03/03/2005,09/03/2016, ,CITY HALL, ,17,77, ,10571/05,8,2016-SEM10, ,17/08/2016,-5.850.193.990.000.000,-3.458.603.209.999.990
RECOLETA,588,C,COMUNA 02,1114,C1114AAS,"URIBURU JOSE E., PRES. 1721",13,RENOVADO 2015, ,14/06/2016, ,04/07/2005, ,03/03/2005,09/03/2016, ,CLOCHE, ,16,78, ,10593/05,12,2016-SEM10, ,17/08/2016,-5.839.458.820.000.000,-345.890.761
BELGRANO,180,B,COMUNA 13,1428,C1428BCX,"FIGUEROA ALCORTA, PRES. AV. 7474",65,INSCRIPCION VENCIDA,INSCRIPCION VENCIDA,18/05/2015, ,01/06/2006, ,18/05/2005,09/06/2014, ,CLUB 74, ,77,76, ,10836/05,55,2016-SEM10, ,11/08/2015,-5.844.778.240.000.000,-3.454.702.290.000.000
SAN TELMO,1702,AR,COMUNA 01,1069,C1069AAS,CHACABUCO 947,103,RENOVADO 2015, ,11/05/2016, ,04/03/2011, ,17/11/2008,23/11/2015, ,CLUB 947, ,111,25, ,36345/08,102,2016-SEM10, ,10/08/2016,-5.837.586.759.999.990,-3.461.913.890.000.000
PALERMO,1030,C,COMUNA 14,1425,C1425DGL,ARAOZ 2422,46,RENOVADO 2016, ,02/06/2016, ,17/06/2005, ,23/03/2005,12/02/2016, ,CLUB ARAOZ, ,6,73, ,10824/05,43,2016-SEM10, ,07/09/2016,-5.841.628.680.000.000,-3.458.651.299.999.990
MONSERRAT,1900,C,COMUNA 01,1088,C1088AAB,"ALSINA, ADOLFO 940",23,RENOVADO 2015, ,30/09/2016, ,20/06/2008, ,10/03/2005,20/04/2015, ,CLUB ONE, ,46,61, ,10575/05,20,2016-SEM10, ,03/12/2016,-583.796.727,-3.461.069.580.000.000
RECOLETA,220,C,COMUNA 02,1014,C1014ACQ,"QUINTANA, MANUEL, PRES. 362",8,RENOVADO 2016, ,20/04/2016, ,27/07/2005, ,02/03/2005,04/03/2016, ,CLUB SHAMPOO, ,22,88, ,10600/05,7,2016-SEM10, ,17/05/2016,-5.838.844.209.999.990,-3.458.962.240.000.000
MONSERRAT,268,C,COMUNA 01,1002,C1002AAT,RIVADAVIA AV. 878,62,SUSPENDIDO,SUSPENDIDO,25/07/2013, ,11/05/2007, ,11/05/2007,10/05/2013, ,COCOLICHE, ,83,62, ,21782/07,90,2016-SEM10, ,24/08/2013,-5.837.893.379.999.990,-3.460.830.920.000.000
RECOLETA,335,CC,COMUNA 02,1020,C1020ADV,RODRIGUEZ PEÑA 1082,115,RENOVADO 2015, ,26/04/2016, ,23/04/2007, ,04/12/2015,05/12/2014, ,CONTRAMANO, ,128,56, ,26278/06,84,2016-SEM10,PLANTA BAJA,27/07/2016,-583.919.724,-3.459.611.000.000.000
PALERMO,2258,C,COMUNA 14,1425,C1425ABL,DEL LIBERTADOR AV. 3883,57,RENOVADO 2015, ,15/06/2016, ,09/10/2008, ,30/03/2006,31/07/2015, ,CROBAR, ,77,89, ,62123/05,72,2016-SEM10, ,03/09/2016,-5.842.280.980.000.000,-345.715.334
NUÑEZ,900,C,COMUNA 13,1429,C1429AAD,CABILDO AV. 3241,1,RENOVADO 2016, ,18/12/2015, ,10/01/2011, ,10/01/2011,08/01/2016, ,DISCO SIX, ,1,1, ,23050/11,121,2016-SEM10, ,03/02/2016,-584.652.551,-3.455.235.379.999.990
NUÑEZ,1297,C,COMUNA 13,1429,C1429ABE,CABILDO AV. 4665,57,RENOVADO 2015, ,31/05/2016, ,18/08/2005, ,04/05/2005,16/06/2016, ,DOME, ,52,122, ,14497/05,53,2016-SEM10, ,03/08/2016,-5.847.345.589.999.990,-3.454.174.549.999.990
PUERTO MADERO,679,C,COMUNA 01,1107,C1107AFP,"MOREAU DE JUSTO, ALICIA AV. 2092",65,RENOVADO 2015, ,14/08/2015, ,18/06/2010, ,21/04/2006,27/08/2015, ,DORSIA, ,88,83, ,12648/06,76,2016-SEM10, ,10/11/2015,-5.836.330.679.999.990,-3.462.296.349.999.990
FLORESTA,743,CC,COMUNA 10,1407,C1407DYB,RIVADAVIA AV. 7927,75,RENOVADO 2015, ,16/06/2016, ,23/05/2014, ,23/05/2014,23/05/2016, ,ECLIPTICO, ,58,75, ,1327221/13,142,2016-SEM10, ,15/09/2016,-5.847.612.039.999.990,-3.463.230.029.999.990
BALVANERA,274,CC,COMUNA 03,1171,C1171ABH,AGUERO 512,49,BAJA INSC: DISP. NRO 94/12, , , ,23/03/2006, ,23/03/2005,23/03/2012, ,EL FOGON, ,46,55, ,13661/05,46,2016-SEM10, , ,-5.841.172.300.000.000,-3.460.383.490.000.000
ALMAGRO,662,C,COMUNA 05,1194,C1194AAO,CORRIENTES AV. 3530,56,RENOVADO 2015, ,27/04/2016, ,10/08/2007, ,04/05/2005,22/07/2016, ,EL PICAFLOR, ,73,84,69,10580/05,52,2016-SEM10, ,27/07/2016,-584.149.393,-3.460.402.220.000.000
SAN NICOLAS,538,C,COMUNA 01,1041,C1041AAO,SARMIENTO 777,74,BAJA INSC: DISP. CONJUNTA 92/2010, , , ,17/11/2006, ,17/06/2005,19/11/2009, ,EL TEATRITO, ,105,127, ,24459/05,61,2016-SEM10, , ,-5.837.767.920.000.000,-3.460.469.309.999.990
PALERMO,572,CC,COMUNA 14,1414,C1414CWF,"JUSTO, JUAN B. AV. 1625",59,RENOVADO 2015, ,23/03/2016, ,22/01/2010, ,03/04/2006,01/04/2016, ,ESPERANTO, ,37,8, ,86918/05,73,2016-SEM10, ,28/06/2016,-5.843.614.639.999.990,-3.458.612.279.999.990
FLORES,452,CC,COMUNA 07,1406,C1406GME,RIVADAVIA AV. 7425,22,RENOVADO 2015, ,16/06/2016, ,29/09/2005, ,10/03/2005,11/03/2016, ,EVELYN, ,17,135, ,10578/05,19,2016-SEM10, ,15/09/2016,-5.847.023.759.999.990,-3.463.076.089.999.990
ALMAGRO,1270,C,COMUNA 05,1203,C1203AAG,RIVADAVIA AV. 3469,51,RENOVADO 2016, ,19/07/2016, ,22/12/2005, ,01/04/2005,26/02/2016, ,FANTASTICO, ,15,160,10,10660/05,48,2016-SEM10, ,22/08/2016,-5.841.534.750.000.000,-3.461.072.399.999.990
MONSERRAT,425,C,COMUNA 01,1064,C1064AAM,BALCARCE 605,1,RENOVADO 2016, ,27/10/2016, , , , , , ,FRODO´S, ,2,1, ,2296777/12,138,2016-SEM10, ,03/11/2016,-5.837.070.779.999.990,-3.461.490.580.000.000
RECOLETA,254,CC,COMUNA 02,1128,C1128AAC,AZCUENAGA 1775,100,RENOVADO 2015, ,17/08/2015, ,11/08/2006, ,11/08/2006,08/10/2015, ,GALLERY, ,95,100, ,31389/06,80,2016-SEM10,1ER PISO,17/11/2015,-5.839.609.279.999.990,-3.458.890.550.000.000
RECOLETA,489,CC,COMUNA 02,1186,C1186AAF,"CABRERA, JOSE A. 3046",26,RENOVADO 2015, ,01/06/2016, ,10/05/2007, ,11/03/2005,15/06/2016, ,GLAM, ,64,60, ,10634/05,23,2016-SEM10, ,17/08/2016,-5.840.954.359.999.990,-3.459.700.610.000.000
RETIRO,408,CC,COMUNA 01,1007,C1007ABN,ESMERALDA 1040,3,RENOVADO 2015, ,05/04/2016, ,08/08/2005, ,24/02/2005,23/03/2016, ,GOLDEN, ,22,98, ,10561/05,2,2016-SEM10, ,27/05/2016,-583.785.022,-3.459.600.389.999.990
PALERMO,950,C,COMUNA 14,1426,C1426CDA,"TORNQUIST, ERNESTO AV. 6385",147,RENOVADO 2015, ,05/05/2016, ,10/09/2013, ,10/09/2013,11/09/2015, ,GOLF DE PALERMO, ,92,147, ,3231626/13,141,2016-SEM10, ,15/06/2016,-584.351.293,-3.455.835.679.999.990
SAN NICOLAS,100,C,COMUNA 01,1054,C1054AAS,CORDOBA AV. 634,20,RENOVADO 2015, ,28/06/2016, ,23/03/2006, ,10/03/2005,31/03/2016, ,GONG, ,33,51, ,10577/05,17,2016-SEM10, ,27/07/2016,-5.837.604.329.999.990,-3.459.883.719.999.990
RETIRO,208,CC,COMUNA 01,1003,C1003ABR,RECONQUISTA 878,87,RENOVADO 2015, ,16/07/2015, ,10/01/2006, ,22/07/2005,14/08/2015, ,GREAT CITY, ,84,5, ,14498/05,64,2016-SEM10, ,13/10/2015,-583.729.449,-3.459.762.769.999.990
PALERMO,1685,C,COMUNA 14,1425,C1425BHF,SANTA FE AV. 4389,51,RENOVADO 2015, ,04/05/2016, ,31/03/2010, ,31/03/2010,01/04/2016, ,GROOVE, ,39,51, ,147846/10,117,2016-SEM10, ,07/08/2016,-5.842.323.869.999.990,-3.457.965.329.999.990
MONSERRAT,958,C,COMUNA 01,1086,C1086AAM,"YRIGOYEN, HIPOLITO 851",4,BAJA PROVISORIA,BAJA PROVISORIA,17/10/2016, ,15/01/2010, ,15/01/2010,28/11/2014, ,HIPOLITO CLUB, ,126,4, ,18225/10,115,2016-SEM10, ,07/11/2016,-5.837.852.149.999.990,-346.094.188
PALERMO,356,CC,COMUNA 14,1414,C1414BNC,HONDURAS 5535,83,BAJA DE INSCRIPCION, , , , , , , , ,HONDURAS HOLLYWOOD, ,175,83, ,48909/09,108,2016-SEM10, , ,-5.843.573.789.999.990,-3.458.452.890.000.000
PALERMO,409,CC,COMUNA 14,1414,C1414BFE,"VEGA, NICETO, CNEL. AV. 5635",69,SUSPENDIDO, ,22/07/2016, ,09/06/2006, ,08/06/2005,13/08/2015, ,INK, ,83,79, ,20819/05,59,2016-SEM10, ,21/08/2016,-5.843.957.900.000.000,-3.458.645.500.000.000
PALERMO,742,C,COMUNA 14,1414,C1414CWS,"JUSTO, JUAN B. AV. 1658",53,RENOVADO 2015, ,30/06/2016, ,20/08/2010, ,24/04/2009,08/03/2016, ,INPUT, ,14,103, ,23794/09,105,2016-SEM10, ,28/09/2016,-5.843.615.069.999.990,-3.458.667.460.000.000
FLORES,323,CC,COMUNA 07,1406,C1406GMS,RIVADAVIA AV. 7518,10,RENOVADO 2015, ,16/03/2016, ,13/09/2005, ,03/03/2005,11/03/2016, ,IVANOFF, ,17,127, ,11153/05,9,2016-SEM10, ,15/06/2016,-5.847.143.549.999.990,-3.463.130.830.000.000
PALERMO,950,C,COMUNA 14,1414,C1414BFB,"VEGA, NICETO, CNEL. AV. 5422",107,RENOVADO 2015, ,30/06/2016, ,16/10/2014, ,16/10/2014,16/10/2015, ,JAGER, ,97,107, ,14551044,143,2016-SEM10, ,06/09/2016,-5.843.806.039.999.990,-3.458.770.169.999.990
BALVANERA,448,C,COMUNA 03,1187,C1187AAQ,CORDOBA AV. 2988,54,RENOVADO 2015, ,18/02/2016, ,30/04/2009, ,30/04/2009,29/04/2016, ,JANNOY, ,48,54, ,23791/09,106,2016-SEM10, ,17/05/2016,-5.840.942.179.999.990,-3.459.817.389.999.990
PALERMO,688,C,COMUNA 14,1428,,"OBLIGADO RAFAEL, AV.COSTANERA 4801",81,RENOVADO 2015, ,22/07/2016, ,19/12/2008, ,09/08/2007,05/08/2015, ,JET, ,79,109, ,83133/05,92,2016-SEM10, ,22/09/2016,-5.841.794.819.999.990,-3.455.451.149.999.990
PALERMO,1100,C,COMUNA 14,1414,C1414BMW,HONDURAS 5339,35,RENOVADO 2015, ,29/06/2016, ,16/03/2007, ,16/03/2007,18/03/2016, ,KIKA, ,29,35, ,"44,991/06",88,2016-SEM10, ,30/09/2016,-5.843.332.600.000.000,-3.458.643.190.000.000
PALERMO,958,C,COMUNA 14,1425,C1425BHL,SANTA FE AV. 4999,3,INSCRIPCION VENCIDA, , , ,13/07/2007, ,14/02/2007,07/08/2009, ,KIMIA, ,79,77, ,81034/06,85,2016-SEM10, , ,-5.842.997.600.000.000,-3.457.695.009.999.990
RECOLETA,508,C,COMUNA 02,1114,C1114AAE,"URIBURU JOSE E., PRES. 1073",130,RENOVADO 2015, ,02/06/2016, ,05/12/2014, ,05/12/2014,02/12/2015, ,KUMA CLUB, ,114,130, ,7327422/13,144,2016-SEM10, ,17/08/2016,-5.839.857.090.000.000,-3.459.586.730.000.000
RETIRO,220,CC,COMUNA 01,1008,C1008AAR,SUIPACHA 842,113,RENOVADO 2015, ,27/04/2016, ,18/12/2009, ,18/12/2009,17/12/2015, ,LA CAPILLA, ,116,113, ,1445687/09,113,2016-SEM10, ,27/07/2016,-5.837.981.839.999.990,-3.459.845.150.000.000
VILLA ORTUZAR,940,C,COMUNA 15,1427,C1427CDA,ALVAREZ THOMAS AV. 1391,85,RENOVADO 2015, ,23/03/2016, ,23/06/2006, ,23/06/2006,22/10/2015, ,LA CITY, ,101,85, ,31391/06,78,2016-SEM10, ,28/06/2016,-58.461.551,-345.782.156
PALERMO,1558,C,COMUNA 14,1428,,"OBLIGADO RAFAEL, AV.COSTANERA 3731",48,BAJA DE INSCRIPCION, , , ,29/09/2011, ,23/03/2005,17/09/2012, ,LA DIOSA-VIDU, ,123,107, ,10604/05,45,2016-SEM10, , ,-5.841.029.660.000.000,-3.455.837.100.000.000
SAN NICOLAS,1372,CC,COMUNA 01,1042,C1042ABF,SARMIENTO 1656,5,RENOVADO 2016, ,06/07/2016, ,29/09/2005, ,01/03/2005,29/02/2016, ,LA FRANCE, ,16,136, ,11117/05,4,2016-SEM10, ,13/10/2016,-5.839.015.030.000.000,-3.460.553.269.999.990
PUERTO MADERO,205,CC,COMUNA 01,1107,C1107AAD,"MOREAU DE JUSTO, ALICIA AV. 102",75,INSCRIPCION VENCIDA,INSCRIPCION VENCIDA,23/01/2013, ,01/06/2006, ,01/06/2006,12/06/2012, ,LA MADELEINE, ,82,75, ,80621/05,77,2016-SEM10, ,27/04/2013,-5.836.747.110.000.000,-34.600.006
MONSERRAT,449,CC,COMUNA 01,1064,C1064AAI,BALCARCE 431,59,BAJA INSC: DISP. NRO 113/12, , , ,10/05/2007, ,10/05/2007,28/05/2012, ,LA VENTANA, ,75,59, ,89485/06,89,2016-SEM10, , ,-5.837.061.940.000.000,-3.461.274.110.000.000
PALERMO,980,C,COMUNA 14,1414,C1414BFB,"VEGA, NICETO, CNEL. AV. 5452",144,RENOVADO 2015, ,30/06/2016, ,16/11/2012, ,16/11/2012,18/11/2015, ,LARC, ,109,144, ,2382483/12,137,2016-SEM10, ,06/09/2016,-5.843.846.839.999.990,-3.458.742.219.999.990
BALVANERA,1540,C,COMUNA 03,1214,C1214ABB,ECUADOR 60,37,RENOVADO 2015, ,22/06/2016, ,17/03/2006, ,18/03/2005,23/03/2016, ,LATINO 11, ,24,34, ,10594/05,34,2016-SEM10, ,22/09/2016,-5.840.896.390.000.000,-3.460.961.290.000.000
BALVANERA,990,CC,COMUNA 03,1033,C1033AAW,RIVADAVIA AV. 1910,159,RENOVADO 2016, ,20/01/2016, ,14/12/2005, ,14/12/2005,10/02/2016, ,LE CLICK, ,4,159, ,50478/05,68,2016-SEM10, ,13/04/2016,-5.839.371.750.000.000,-3.460.936.730.000.000
AGRONOMIA,68,C,COMUNA 15,1419,C1419IBE,SAN MARTIN AV. 6101,42,INSCRIPCION VENCIDA, , , ,23/03/2006, ,21/03/2005,23/03/2007, ,LE PRIVE, ,44,52, ,10583/05,39,2016-SEM10, , ,-5.850.174.009.999.990,-3.459.497.120.000.000
PALERMO,576,C,COMUNA 14,1425,C1425BGL,SANTA FE AV. 3651,3,RENOVADO 2016, ,03/06/2016, ,18/05/2012, ,11/02/2009,10/02/2016, ,LIQUID, ,5,71, ,72590/08,103,2016-SEM10, ,07/09/2016,-5.841.535.749.999.990,-345.854.383
CONSTITUCION,150,CC,COMUNA 01,1103,C1103ADI,HUMBERTO 1° 1783,123,RENOVADO 2015, ,28/06/2016, ,02/11/2006, ,02/11/2006,06/11/2015, ,LO DE CELIA, ,105,123, ,9853/06,83,2016-SEM10,1ER PISO,20/09/2016,-5.839.130.370.000.000,-3.462.150.609.999.990
RECOLETA,300,CC,COMUNA 02,1128,C1128ACF,"LOPEZ, VICENTE 2056",75,BAJA INSC: DISP. NRO 003/2010, , , , , , , , ,LOCOS X EL FUTBOL, ,72,75, ,11045/07,91,2016-SEM10, , ,-58.393.625,-3.458.892.159.999.990
VILLA DEL PARQUE,247,CC,COMUNA 11,1419,C1419HYS,"BEIRO, FRANCISCO AV. 3128",150,RENOVADO 2015, ,23/06/2016, ,28/12/2010, ,28/12/2010,24/05/2016, ,LOOP, ,49,150, ,1527712/10,119,2016-SEM10, ,10/08/2016,-5.849.734.519.999.990,-3.459.698.889.999.990
MONSERRAT,200,C,COMUNA 01,1084,C1084AAR,DE MAYO AV. 948,145,RENOVADO 2015, ,31/05/2016, ,28/08/2013, ,28/08/2013,27/08/2015, ,LP, ,87,145, ,3142359/13,140,2016-SEM10, ,03/09/2016,-5.837.981.950.000.000,-3.460.902.399.999.990
RECOLETA,396,C,COMUNA 02,1128,C1128AAH,AZCUENAGA 1902,128,BAJA DE INSCRIPCION, , , ,15/09/2005, ,15/09/2005,28/09/2012, ,MADAHOS, ,125,128, ,14781/05,66,2016-SEM10, , ,-5.839.509.309.999.990,-3.458.753.300.000.000
LINIERS,1320,C,COMUNA 09,1408,C1408AAJ,RIVADAVIA AV. 10925,60,RENOVADO 2015, ,13/10/2016, ,23/04/2007, ,04/04/2006,06/04/2016, ,MAGICO, ,40,58, ,61559/05,74,2016-SEM10, ,11/01/2017,-5.851.800.130.000.000,-3.463.900.240.000.000
PUERTO MADERO,100,CC,COMUNA 01,1107,C1107AAU,"MOREAU DE JUSTO, ALICIA AV. 1007",95,SUSPENDIDO,SUSPENDIDO,23/04/2014, ,23/10/2009, ,23/10/2009,30/09/2011, ,MAGNOLIA, ,108,95, ,1082617/09,111,2016-SEM10, ,20/07/2014,-5.836.645.349.999.990,-3.460.961.439.999.990
FLORES,504,C,COMUNA 07,1406,C1406GSE,"ALBERDI, JUAN BAUTISTA AV. 2829",86,RENOVADO 2015, ,26/10/2016, ,04/09/2008, ,04/09/2008,12/04/2016, ,MAIS- UM, ,44,86, ,66474/07,98,2016-SEM10, ,27/01/2017,-5.846.759.910.000.000,-3.463.299.059.999.990
SAN NICOLAS,1076,C,COMUNA 01,1042,C1042ABH,SARMIENTO 1728,11,RENOVADO 2016, ,07/07/2016, ,11/07/2006, ,03/03/2005,04/03/2016, ,MALUCO BELEZA, ,23,92, ,11304/05,10,2016-SEM10, ,13/10/2016,-583.911.759,-3.460.560.300.000.000
PALERMO,1613,C,COMUNA 14,,,"OBLIGADO RAFAEL, AV.COSTANERA Y SARMIENTO AV.",47,RENOVADO 2016, ,23/06/2016, ,23/03/2009, ,23/03/2005,01/03/2016, ,MANDARINE, ,19,38, ,10611/05,44,2016-SEM10, ,24/08/2016,-5.840.193.680.000.000,-345.679.187
CONSTITUCION,1140,CL,COMUNA 01,1137,C1137ACL,SALTA 1748,7,RENOVADO 2016, ,20/09/2016, ,13/01/2006, ,13/01/2006,12/02/2016, ,MBURUKUJA, ,7,7, ,61556/05,69,2016-SEM10, ,20/12/2016,-5.838.273.579.999.990,-3.462.816.310.000.000
MONSERRAT,586,C,COMUNA 01,1064,C1064AAK,BALCARCE 563,123,RENOVADO 2015, ,05/05/2016, ,22/10/2010, ,22/10/2010,22/10/2015, ,MOD, ,100,123, ,1130684/10,118,2016-SEM10, ,03/08/2016,-5.837.073.310.000.000,-3.461.436.350.000.000
